#####################################################################################################
# NeXus source file: noemi5saxs
# NXdata: name = img{0}_azimuthalIntegration_Px_22                 
#
#
# Exposure_msec                                     1000.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           -
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               285.110346632731
# _sas_detc.center_eq                               957.0166664324403
# _sas_detc.dist_spec/detc                          6137.21860334
# _sas_detc.energy                                  12.000513668149837
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.0331573224991384
# _sas_detc.bias                                    0
# _sas_detc.mask                                    E:\20251487\published-data\3120\2026-09-03_session3\\mask_bags_saxs_12kev_sept26.txt
# Normalization                                     true
# Normalization Factor                              0.02571
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           1.3550127803547397e-06
# GlobalNormalization                               31.483329301987705
# AbsTimeStamps                                     nan
# TimeStamps                                        1.3956758975982666
# gapTime                                           500.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)ctac1mm_00191{00000}_AzInt_Px_22         Sig(q)ctac1mm_00191{00000}_AzInt_Px_22       
0.037753786597605164               0.043746964764568616                         0.0012050088075136376                        
0.03790241923115994                0.043377942236233105                         0.001191234284112715                         
0.038051051813774724               0.045153136917106776                         0.0012172469931515442                        
0.03819968434524979                0.04202816919510537                          0.0011683509977796385                        
0.03834831682538542                0.04148138802386754                          0.001157182124293058                         
0.03849694925398188                0.04456889255811308                          0.0012080997106983515                        
0.03864558163083943                0.044058727466750124                         0.0011907764180202737                        
0.03879421395575834                0.042921034187952886                         0.0011747069682461273                        
0.038942846228538906               0.044684999657632604                         0.001186652732231715                         
0.03909147844898136                0.04407650162064183                          0.0011934381918749866                        
0.03924011061688601                0.041174286323042424                         0.001140216403355741                         
0.0393887427320531                 0.04460793560828112                          0.0011792131356586737                        
0.039537374794282924               0.04494555246265447                          0.0011848307749944833                        
0.039686006803375744               0.042353160698808255                         0.0011434278617000128                        
0.039834638759131825               0.04359090903165964                          0.0011662662895450388                        
0.03998327066135146                0.04205709654866854                          0.0011350213187880849                        
0.04013190250983492                0.04402877827486033                          0.0011546608249251337                        
0.04028053430438246                0.041883105021778166                         0.0011332181484969884                        
0.04042916604479439                0.04179757846143831                          0.0011255608754918878                        
0.04057779773087095                0.04282433081156056                          0.001146988855990381                         
0.040726429362412435               0.042720472232698536                         0.0011277428809019034                        
0.04087506093921912                0.04283091792396937                          0.0011426657756677674                        
0.04102369246109126                0.04171622561796549                          0.0011250029429647162                        
0.04117232392782917                0.04266186206081947                          0.0011285575038674858                        
0.041320955339233106               0.04435004793152596                          0.0011583161414069245                        
0.041469586695103346               0.043169428974349076                         0.0011352516912428831                        
0.04161821799524017                0.04267489871652419                          0.001134072638289269                         
0.041766849239443855               0.04266457909512189                          0.0011333982568295536                        
0.04191548042751469                0.04266866184529437                          0.0011228595222445886                        
0.042064111559252944               0.0439481889045373                           0.0011427649079670456                        
0.0422127426344589                 0.042727803052658525                         0.0011236379964035608                        
0.042361373652932834               0.04340745137252834                          0.0011325395821538767                        
0.04251000461447503                0.04244590003657824                          0.0011430194323407738                        
0.04265863551888578                0.04278829534834099                          0.001152657753864906                         
0.042807266365965366               0.043173831219687354                         0.001174607893120231                         
0.04295589715551405                0.04303674787132979                          0.0011739235403874905                        
0.04310452788733213                0.04360441647368099                          0.0011876419596578455                        
0.04325315856121989                0.042793066790907434                         0.0011729631915211405                        
0.0434017891769776                 0.045134931345178896                         0.0012176414394480604                        
0.043550419734405564               0.038944436008083005                         0.0011298926888006274                        
0.04369905023330405                0.04552809145729726                          0.0012185314308437727                        
0.043847680673473347               0.043515498869554116                         0.0012018288383645835                        
0.04399631105471376                0.0443479193826757                           0.0012007872398087898                        
0.04414494137682554                0.04452465670283785                          0.0012163209312677197                        
0.044293571639608995               0.042122924456443195                         0.0011787536935166012                        
0.04444220184286442                0.04340611754538844                          0.0011947140650572059                        
0.044590831986392084               0.04332246239960179                          0.001196041409027046                         
0.04473946206999227                0.04278271024736425                          0.0011879503921631148                        
0.044888092093465295               0.041237559228436936                         0.0011811120478170739                        
0.04503672205661142                0.044327694053312286                         0.0012042190469250867                        
0.04518535195923094                0.0433564897479705                           0.0012104330831744627                        
0.04533398180112416                0.04272140972128806                          0.0011945664215749867                        
0.04548261158209136                0.0437658090346707                           0.0012129124919392793                        
0.04563124130193283                0.04565865275376282                          0.0012515092530360214                        
0.04577987096044885                0.043952321584083597                         0.001209747836431432                         
0.045928500557439744               0.044752772540094986                         0.0012383641119770388                        
0.04607713009270576                0.043788676680743086                         0.0012229756444952576                        
0.04622575956604723                0.04196867606293538                          0.0011947242788578408                        
0.04637438897726441                0.04460848321985022                          0.0012343714494940027                        
0.04652301832615762                0.04377869118326906                          0.0012137356978087575                        
0.04667164761252716                0.04266664596466521                          0.0012170616076325196                        
0.0468202768361733                 0.04326470170262432                          0.0012078705305468682                        
0.04696890599689635                0.04241074724752084                          0.0011990775438267493                        
0.04711753509449661                0.044675826323176286                         0.001231997190770898                         
0.04726616412877436                0.042686223101165204                         0.0011903296335807334                        
0.0474147930995299                 0.04369907794736164                          0.0012171547961809313                        
0.04756342200656354                0.042784502608196356                         0.0011898363290353483                        
0.04771205084967556                0.04349005053795479                          0.0012052702037512522                        
0.04786067962866626                0.04382875173493726                          0.0012118677545919982                        
0.048009308343335964               0.04234353210376629                          0.0011757557031193365                        
0.04815793699348494                0.043728277695696385                         0.0012104786014722334                        
0.048306565578913496               0.04305964817758401                          0.0011838333079304147                        
0.04845519409942194                0.04303438941835319                          0.001199572143554385                         
