#####################################################################################################
# NeXus source file: noemi5saxs
# NXdata: name = img{0}_azimuthalIntegration_Px_21                 
#
#
# Exposure_msec                                     1000.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           -
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               285.110346632731
# _sas_detc.center_eq                               957.0166664324403
# _sas_detc.dist_spec/detc                          6137.21860334
# _sas_detc.energy                                  12.000513668149837
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.0331573224991384
# _sas_detc.bias                                    0
# _sas_detc.mask                                    E:\20251487\published-data\3120\2026-09-03_session3\\mask_bags_saxs_12kev_sept26.txt
# Normalization                                     true
# Normalization Factor                              0.02571
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           1.9589104683430584e-06
# GlobalNormalization                               45.514717087620085
# AbsTimeStamps                                     nan
# TimeStamps                                        1.3574309349060059
# gapTime                                           500.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)emptycap_00190{00000}_AzInt_Px_21        Sig(q)emptycap_00190{00000}_AzInt_Px_21      
0.037753786597605164               0.027138059917153703                         0.0007893508095671521                        
0.03790241923115994                0.02765192894840659                          0.0007910243077531844                        
0.038051051813774724               0.02630763052340071                          0.0007727517830242661                        
0.03819968434524979                0.0264655114021633                           0.0007710945706095069                        
0.03834831682538542                0.025009037595110667                         0.0007472879306398923                        
0.03849694925398188                0.025641826006331876                         0.0007621241707969218                        
0.03864558163083943                0.027225995141233843                         0.0007785213627178678                        
0.03879421395575834                0.025330364574353403                         0.0007505499122224908                        
0.038942846228538906               0.02487138537781715                          0.0007363039912853463                        
0.03909147844898136                0.02378281069355747                          0.0007291088419871904                        
0.03924011061688601                0.026340535569421373                         0.0007584918997108617                        
0.0393887427320531                 0.025379190090242004                         0.0007397577559574942                        
0.039537374794282924               0.025299481962451                            0.0007393212362181466                        
0.039686006803375744               0.024620100780539222                         0.0007250620468373818                        
0.039834638759131825               0.026979775838289474                         0.0007631032980058983                        
0.03998327066135146                0.025468421116514824                         0.000734598079163201                         
0.04013190250983492                0.026224387973469997                         0.0007411450236982085                        
0.04028053430438246                0.025705117633188692                         0.0007383602118359972                        
0.04042916604479439                0.0266477908116941                           0.0007474608237492954                        
0.04057779773087095                0.025096116020580206                         0.0007302668131510964                        
0.040726429362412435               0.025143666749882936                         0.0007195662411855246                        
0.04087506093921912                0.025493893251315628                         0.0007332009391220297                        
0.04102369246109126                0.02547708878550875                          0.0007312071967420006                        
0.04117232392782917                0.025978676616380526                         0.0007324478411564109                        
0.041320955339233106               0.025739140410648176                         0.0007339077660083504                        
